level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3600	2160	-1	
2	1	1	0	0	0	472	76	2587	109	-1	
3	1	1	1	0	0	472	76	2587	109	-1	
4	1	1	1	1	0	572	76	582	33	-1	
5	1	1	1	1	1	572	76	33	33	88.388542	@
5	1	1	1	1	2	646	76	33	33	91.400131	@
5	1	1	1	1	3	698	81	127	26	94.520897	Paperless
5	1	1	1	1	4	836	81	33	26	96.734528	Ag
5	1	1	1	1	5	1059	84	18	18	90.517738	x
5	1	1	1	1	6	1130	81	24	23	94.754501	+
4	1	1	1	2	0	472	145	2587	40	-1	
5	1	1	1	2	1	472	153	28	27	76.556206	G
5	1	1	1	2	2	619	152	29	29	54.877670	G
5	1	1	1	2	3	700	153	29	27	0.000000	%%
5	1	1	1	2	4	758	153	452	32	89.150757	https://paperless.fullstack.ag
5	1	1	1	2	5	2846	151	31	29	47.188320	*
5	1	1	1	2	6	2926	145	38	38	6.711235	F
5	1	1	1	2	7	3022	148	37	37	85.051102	@
2	1	2	0	0	0	569	219	517	44	-1	
3	1	2	1	0	0	569	219	517	44	-1	
4	1	2	1	1	0	569	219	517	44	-1	
5	1	2	1	1	1	569	219	11	44	0.000000	Y
5	1	2	1	1	2	624	229	127	26	92.869354	Paperless
5	1	2	1	1	3	763	229	58	21	92.869354	NGX
5	1	2	1	1	4	863	224	33	33	52.461113	@
5	1	2	1	1	5	915	229	127	26	96.560295	Paperless
5	1	2	1	1	6	1053	230	33	25	96.893379	Ag
2	1	3	0	0	0	1049	392	456	68	-1	
3	1	3	1	0	0	1049	392	456	68	-1	
4	1	3	1	1	0	1049	392	456	68	-1	
5	1	3	1	1	1	1049	392	344	68	96.458054	Paperless
5	1	3	1	1	2	1412	392	93	68	96.458054	Ag
2	1	4	0	0	0	1048	516	1428	38	-1	
3	1	4	1	0	0	1048	516	1428	38	-1	
4	1	4	1	1	0	1048	516	1428	38	-1	
5	1	4	1	1	1	1048	516	171	31	96.354980	Semantic
5	1	4	1	1	2	1234	516	121	31	96.375046	search
5	1	4	1	1	3	1370	516	66	31	96.896408	and
5	1	4	1	1	4	1451	516	128	31	96.535263	Claude
5	1	4	1	1	5	1594	516	196	38	96.130882	integration
5	1	4	1	1	6	1804	516	51	31	96.130882	for
5	1	4	1	1	7	1869	516	178	38	93.301888	Paperless
5	1	4	1	1	8	2062	516	92	31	92.866074	NGX.
5	1	4	1	1	9	2171	516	78	31	96.623322	Built
5	1	4	1	1	10	2262	516	51	31	96.336700	for
5	1	4	1	1	11	2325	516	151	31	96.629059	farmers.
2	1	5	0	0	0	1049	663	135	37	-1	
3	1	5	1	0	0	1049	663	135	37	-1	
4	1	5	1	1	0	1049	663	135	37	-1	
5	1	5	1	1	1	1049	663	135	37	95.269196	Install
2	1	6	0	0	0	1047	756	604	35	-1	
3	1	6	1	0	0	1047	756	604	35	-1	
4	1	6	1	1	0	1047	756	604	35	-1	
5	1	6	1	1	1	1047	756	70	29	95.178062	SSH
5	1	6	1	1	2	1132	756	62	28	95.178062	into
